logread -f
Apr  3 17:36:02 swi-mdm9x28-wp user.warn Legato: -WRN- | updateDaemon[850]/updateDaemon T=main | system.c system_Snapshot() 807 | System has not yet passed probation, no snapshot taken.
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | system.c system_SymlinkApp() 611 | Creating symlink /legato/systems/current/apps/cf3GpioControl -> /legato/apps/aa70341eb3b3bb27eb88cb8fd02195e1
Apr  3 17:36:02 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | appUser.c appUser_Add() 37 | Creating user 'appcf3GpioControl' for application 'cf3GpioControl'.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/framework T=main | LE_FILENAME user_Create() 1370 | Created user 'appcf3GpioControl' with uid 1026 and gid 1026.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | sdir[4450]/framework T=main | LE_FILENAME user_Init() 445 | /etc is writable
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/framework T=main | LE_FILENAME sysStatus_MarkTried() 261 | Current system has been marked "tried 1".
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | supCtrl.c supCtrl_StartApp() 49 | App 'cf3GpioControl' is not marked for auto-start.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | app.c app_InstallIndividual() 794 | App cf3GpioControl <aa70341eb3b3bb27eb88cb8fd02195e1> installed
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateDaemon.c ApplyAppUpdate() 956 | App 'cf3GpioControl<aa70341eb3b3bb27eb88cb8fd02195e1>' installed properly.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | updateDaemon[850]/updateDaemon T=main | updateDaemon.c StartProbation() 214 | System on probation (timer started).
